"","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT"
"18177","Norway",2008,"01/10/2008",70.13833333,30.36166667,"Mytilus edulis",100,"SB",0.007,"Hg","W","",NA,NA,NA
"18178","Norway",2008,"01/10/2008",70.13833333,30.36166667,"Mytilus edulis",103,"SB",0.007,"Hg","W","",NA,NA,NA
"18179","Norway",2008,"01/10/2008",70.13833333,30.36166667,"Mytilus edulis",100,"SB",0.007,"Hg","W","",NA,NA,NA
"18180","Norway",2009,"30/09/2009",59.88366667,10.711,"Mytilus edulis",100,"SB",0.164,"Cd","W","",1,NA,NA
"18181","Norway",2009,"30/09/2009",59.88366667,10.711,"Mytilus edulis",100,"SB",0.217,"Cd","W","",1,NA,NA
"18182","Norway",2009,"30/09/2009",59.88366667,10.711,"Mytilus edulis",50,"SB",0.238,"Cd","W","",1,NA,NA
"18183","Norway",2009,"09/12/2009",59.6155,10.6515,"Mytilus edulis",100,"SB",0.182,"Cd","W","",1,NA,NA
"18184","Norway",2009,"09/12/2009",59.6155,10.6515,"Mytilus edulis",50,"SB",0.186,"Cd","W","",1,NA,NA
"18185","Norway",2009,"09/12/2009",59.6155,10.6515,"Mytilus edulis",50,"SB",0.18,"Cd","W","",1,NA,NA
"18186","Norway",2009,"11/09/2009",59.58366667,5.14583333,"Mytilus edulis",100,"SB",0.221,"Cd","W","",1,NA,NA
"18187","Norway",2009,"11/09/2009",59.58366667,5.14583333,"Mytilus edulis",50,"SB",0.201,"Cd","W","",1,NA,NA
"18188","Norway",2009,"01/10/2009",59.48816667,10.498,"Mytilus edulis",100,"SB",0.153,"Cd","W","",1,NA,NA
"18189","Norway",2009,"01/10/2009",59.48816667,10.498,"Mytilus edulis",50,"SB",0.167,"Cd","W","",1,NA,NA
"18190","Norway",2009,"01/10/2009",59.48816667,10.498,"Mytilus edulis",50,"SB",0.179,"Cd","W","",1,NA,NA
"18191","Norway",2009,"11/09/2009",59.58366667,5.14583333,"Mytilus edulis",50,"SB",0.154,"Cd","W","",1,NA,NA
"18192","Norway",2009,"07/09/2009",60.08383333,6.5505,"Mytilus edulis",20,"SB",0.315,"Cd","W","",1,NA,NA
"18193","Norway",2009,"07/09/2009",60.08383333,6.5505,"Mytilus edulis",20,"SB",0.311,"Cd","W","",1,NA,NA
"18194","Norway",2009,"07/09/2009",60.08383333,6.5505,"Mytilus edulis",20,"SB",0.32,"Cd","W","",1,NA,NA
"18195","Norway",2009,"07/09/2009",60.09666667,6.53283333,"Mytilus edulis",100,"SB",0.465,"Cd","W","",1,NA,NA
"18196","Norway",2009,"07/09/2009",60.09666667,6.53283333,"Mytilus edulis",50,"SB",0.394,"Cd","W","",1,NA,NA
"18197","Norway",2009,"07/09/2009",60.09666667,6.53283333,"Mytilus edulis",50,"SB",0.427,"Cd","W","",1,NA,NA
"18198","Sweden",2003,"01/11/2003",58.633,11.2615,"Mytilus edulis",1,"SB",0.015,"Hg","W","",0.0025,NA,NA
"18199","Sweden",2003,"01/11/2003",58.633,11.2615,"Mytilus edulis",1,"SB",0.018,"Hg","W","",0.0025,NA,NA
"18200","Sweden",2003,"01/11/2003",58.633,11.2615,"Mytilus edulis",1,"SB",0.007,"Hg","W","",0.0025,NA,NA
