"","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT"
"8606","Norway",2004,"11/10/2004",60.09666667,6.53283333,"Mytilus edulis",50,"SB",2.48,"Pb","W","",0.04,NA,NA
"8607","Norway",2004,"11/10/2004",60.09666667,6.53283333,"Mytilus edulis",50,"SB",4.45,"Pb","W","",0.04,NA,NA
"8608","Norway",2004,"11/10/2004",60.08383333,6.5505,"Mytilus edulis",20,"SB",6.25,"Pb","W","",0.04,NA,NA
"8609","Norway",2004,"11/10/2004",60.08383333,6.5505,"Mytilus edulis",20,"SB",7.07,"Pb","W","",0.04,NA,NA
"8610","Norway",2004,"22/09/2004",61.36916667,4.87783333,"Mytilus edulis",50,"SB",0.38,"Pb","W","",0.04,NA,NA
"8611","Norway",2004,"22/09/2004",61.36916667,4.87783333,"Mytilus edulis",36,"SB",0.39,"Pb","W","",0.04,NA,NA
"8612","Norway",2004,"22/09/2004",60.17116667,5.01033333,"Mytilus edulis",50,"SB",0.29,"Pb","W","",0.04,NA,NA
"8613","Norway",2004,"22/09/2004",60.17116667,5.01033333,"Mytilus edulis",50,"SB",0.25,"Pb","W","",0.04,NA,NA
"8614","Norway",2004,"22/09/2004",61.36916667,4.87783333,"Mytilus edulis",100,"SB",0.38,"Pb","W","",0.04,NA,NA
"8615","Norway",2004,"22/09/2004",60.17116667,5.01033333,"Mytilus edulis",63,"SB",0.32,"Pb","W","",0.04,NA,NA
"8616","Norway",2004,"04/09/2004",63.3465,9.95716667,"Mytilus edulis",50,"SB",0.2,"Pb","W","",0.04,NA,NA
"8617","Norway",2004,"04/09/2004",63.45066667,10.2025,"Mytilus edulis",50,"SB",0.1,"Pb","W","",0.04,NA,NA
"8618","Norway",2004,"04/09/2004",63.3465,9.95716667,"Mytilus edulis",100,"SB",0.24,"Pb","W","",0.04,NA,NA
"8619","Norway",2004,"04/09/2004",63.3465,9.95716667,"Mytilus edulis",50,"SB",0.19,"Pb","W","",0.04,NA,NA
"8620","Norway",2004,"11/10/2004",58.73083333,9.272,"Mytilus edulis",50,"SB",0.2,"Pb","W","",0.04,NA,NA
"8621","Norway",2004,"04/09/2004",63.45066667,10.2025,"Mytilus edulis",100,"SB",0.12,"Pb","W","",0.04,NA,NA
"8622","Norway",2004,"04/09/2004",63.45066667,10.2025,"Mytilus edulis",50,"SB",0.11,"Pb","W","",0.04,NA,NA
"8623","United Kingdom",2009,"20/01/2009",54.659,-5.899,"Mytilus edulis",60,"SB",0.402,"Pb","W","",0.01,NA,15.176
"8624","United Kingdom",2009,"20/01/2009",54.659,-5.899,"Mytilus edulis",60,"SB",0.274,"Pb","W","",0.01,NA,10.972
"8625","Norway",2004,"24/08/2004",67.66466667,14.74283333,"Mytilus edulis",100,"SB",0.1,"Pb","W","",0.04,NA,NA
"8626","Norway",2004,"04/09/2004",63.46183333,9.90716667,"Mytilus edulis",33,"SB",0.09,"Pb","W","",0.04,NA,NA
"8627","Norway",2004,"10/10/2004",60.38716667,6.68916667,"Mytilus edulis",50,"SB",1.63,"Pb","W","",0.04,NA,NA
"8628","Norway",2004,"10/10/2004",60.38716667,6.68916667,"Mytilus edulis",100,"SB",0.82,"Pb","W","",0.04,NA,NA
"8629","Norway",2004,"10/10/2004",60.38716667,6.68916667,"Mytilus edulis",51,"SB",1.21,"Pb","W","",0.04,NA,NA
"8630","Norway",2004,"25/09/2004",59.59166667,6.30016667,"Mytilus edulis",20,"SB",0.37,"Pb","W","",0.04,NA,NA
"8631","Norway",2004,"25/09/2004",59.59166667,6.30016667,"Mytilus edulis",20,"SB",0.34,"Pb","W","",0.04,NA,NA
"8632","Norway",2004,"25/09/2004",59.59166667,6.30016667,"Mytilus edulis",20,"SB",0.39,"Pb","W","",0.04,NA,NA
"8633","Norway",2004,"13/09/2004",59.10183333,11.04483333,"Mytilus edulis",20,"SB",0.26,"Pb","W","",0.04,NA,NA
"8634","Norway",2004,"13/09/2004",59.10183333,11.04483333,"Mytilus edulis",20,"SB",0.61,"Pb","W","",0.04,NA,NA
"8635","Norway",2004,"13/09/2004",59.10183333,11.04483333,"Mytilus edulis",20,"SB",0.39,"Pb","W","",0.04,NA,NA
