"X","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT","n_bycountry"
963,"United Kingdom",1990,1990-07-15,52.88333333,0.41666667,"Mytilus edulis",50,"SB",0.19,"Cd","W","",0.06,NA,NA,1414
964,"United Kingdom",1990,1990-07-15,52.88333333,0.41666667,"Mytilus edulis",50,"SB",0.18,"Cd","W","",0.06,NA,NA,1414
965,"United Kingdom",1990,1990-07-15,51.93333333,1.28333333,"Mytilus edulis",50,"SB",0.19,"Cd","W","",0.06,NA,NA,1414
966,"United Kingdom",1990,1990-07-15,51.93333333,1.28333333,"Mytilus edulis",50,"SB",0.22,"Cd","W","",0.06,NA,NA,1414
967,"United Kingdom",1990,1990-07-15,55.25,-1.5,"Mytilus edulis",50,"SB",0.23,"Cd","W","",0.06,NA,NA,1414
968,"United Kingdom",1990,1990-07-15,55.33333333,-1.58333333,"Mytilus edulis",50,"SB",0.1,"Cd","W","",0.06,NA,NA,1414
969,"United Kingdom",1990,1990-07-15,55.33333333,-1.58333333,"Mytilus edulis",50,"SB",0.11,"Cd","W","",0.06,NA,NA,1414
970,"United Kingdom",1990,1990-07-15,55.25,-1.5,"Mytilus edulis",50,"SB",0.25,"Cd","W","",0.06,NA,NA,1414
971,"United Kingdom",1990,1990-07-15,51.5,0.75,"Mytilus edulis",50,"SB",0.29,"Cd","W","",0.06,NA,NA,1414
972,"United Kingdom",1990,1990-07-15,51.36666667,1.03333333,"Mytilus edulis",49,"SB",0.4,"Cd","W","",0.06,NA,NA,1414
973,"United Kingdom",1990,1990-07-15,55.83333333,-2,"Mytilus edulis",50,"SB",0.14,"Cd","W","",0.06,NA,NA,1414
974,"United Kingdom",1990,1990-07-15,51.5,0.75,"Mytilus edulis",50,"SB",0.28,"Cd","W","",0.06,NA,NA,1414
975,"United Kingdom",1990,1990-07-15,51.36666667,0.75,"Mytilus edulis",50,"SB",0.22,"Cd","W","",0.06,NA,NA,1414
976,"United Kingdom",1990,1990-07-15,51.36666667,0.75,"Mytilus edulis",50,"SB",0.23,"Cd","W","",0.06,NA,NA,1414
977,"United Kingdom",1990,1990-07-15,51.36666667,1.03333333,"Mytilus edulis",49,"SB",0.38,"Cd","W","",0.06,NA,NA,1414
978,"United Kingdom",1990,1990-07-15,55.83333333,-2,"Mytilus edulis",50,"SB",0.15,"Cd","W","",0.06,NA,NA,1414
979,"United Kingdom",1990,1990-07-15,55.66666667,-1.83333333,"Mytilus edulis",50,"SB",0.17,"Cd","W","",0.06,NA,NA,1414
980,"United Kingdom",1990,1990-07-15,55.66666667,-1.83333333,"Mytilus edulis",50,"SB",0.15,"Cd","W","",0.06,NA,NA,1414
1044,"Ireland",1992,1992-11-10,51.77416667,-9.81533333,"Mytilus edulis",50,"SB",0.18,"Cd","W","",0.007,NA,NA,986
1045,"Ireland",1992,1992-11-10,51.68833333,-9.476,"Mytilus edulis",50,"SB",0.19,"Cd","W","",0.007,NA,NA,986
1046,"Ireland",1992,1992-05-18,54.083,-6.212,"Mytilus edulis",33,"SB",0.4,"Cd","W","",0.007,NA,NA,986
1047,"Ireland",1992,1992-05-21,52.24166667,-6.96333333,"Mytilus edulis",33,"SB",0.38,"Cd","W","",0.007,NA,NA,986
1048,"Ireland",1992,1992-05-21,52.24166667,-6.96333333,"Mytilus edulis",33,"SB",0.39,"Cd","W","",0.007,NA,NA,986
1049,"Ireland",1992,1992-10-29,52.155,-7.098,"Mytilus edulis",50,"SB",0.45,"Cd","W","",0.007,NA,NA,986
1050,"Ireland",1992,1992-05-18,54.083,-6.212,"Mytilus edulis",33,"SB",0.49,"Cd","W","",0.007,NA,NA,986
1051,"Ireland",1992,1992-11-03,53.59766667,-9.77366667,"Mytilus edulis",50,"SB",0.17,"Cd","W","",0.007,NA,NA,986
1060,"Ireland",1992,1992-10-27,55.121,-7.196,"Mytilus edulis",50,"SB",0.22,"Cd","W","",0.007,NA,NA,986
1061,"Ireland",1992,1992-05-21,52.24166667,-6.96333333,"Mytilus edulis",33,"SB",0.41,"Cd","W","",0.007,NA,NA,986
1062,"Ireland",1992,1992-11-11,53.33333333,-6.137,"Mytilus edulis",50,"SB",0.21,"Cd","W","",0.007,NA,NA,986
